"species","latitude","sample_size","onset_estimate","onset_low_ci","onset_high_ci","offset_estimate","offset_low_ci","offset_high_ci"
"battus","30",2829,71,68,74,304,301,306.6
"battus","31",952,74,70.55,78,297,295,299
"battus","32",403,85.1,80,92,298.9,293.9,306
"battus","33",2148,90,87,93,292,290,293
"battus","34",490,88,84,93,285.55,279.55,287.55
"battus","35",1118,102.85,100,106,276,271.15,279
"battus","36",2464,107,105,110,273.85,272,276.85
"battus","37",625,103.2,100.4,108.2,267,255.8,271
"battus","38",803,109,105,111,261,256,266
"battus","39",1365,124.2,121,129,267,263.8,271
"battus","40",453,122,118.2,130,258,254.8,265.4
"astyanax","30",347,81,74.6,88,277,270.8,285.7
"astyanax","31",391,86.5,84,92,280.5,273,284.5
"astyanax","32",286,92.25,89,100.25,278,271.75,284.5
"astyanax","33",828,100,98,103,287.65,282,291
"astyanax","34",1179,109,105,113.9,281,279,283
"astyanax","35",1498,117,115,118,276,272.15,280
"astyanax","36",2255,122,120,124,280,277,282.3
"astyanax","37",800,127,123,132,276.05,273,281
"astyanax","38",1187,134,130,136,271,268,273
"astyanax","39",2919,138.9,137,140,269,267,271
"astyanax","40",2106,142,141,144,264,261,265
"D_plexippus","30",7216,59,53,64,337,335,339
"D_plexippus","31",2079,81,78,82,324,322,327
"D_plexippus","32",1064,85,82.15,87,317,314,321
"D_plexippus","33",5402,88,87,90,310,309,311
"D_plexippus","34",1229,98,94,103,307,304,308
"D_plexippus","35",1777,102,100,104,302,299,305
"D_plexippus","36",3689,116,112,119,300,298,301
"D_plexippus","37",1349,124.4,117,137,302,298.6,305
"D_plexippus","38",2092,150,142.55,156,296,293.45,298
"D_plexippus","39",8046,167,165,169,292,291,294
"D_plexippus","40",5693,176,174,179,287,285,288
"archippus","30",1134,94,91.3,98,308,304,313
"archippus","31",430,107,101,114,307.55,296.1,311.65
"archippus","32",281,112,105,120,299,291,305
"archippus","33",1133,108.6,106,111,294,290,296
"archippus","34",310,117.9,110,126.45,284,280.55,289.988731624725
"archippus","35",386,120,113,123.5,281,278,288
"archippus","36",651,124,120,133,284,281,288
"archippus","37",279,129.9,124.9,140,286,280.1,291.1
"archippus","38",323,144,139,151.1,282.9,280.8,286
"archippus","39",1291,146,142,149,283,280,284
"archippus","40",844,151,148,157,274,271.85,278
