"latitude","species_comparison","z_score","p_value","plexippus_estimate","archippus_estimate","emergence_delay"
"30","plexippus_archippus","10.6523151791066","0.0000000000000000000000000170081563932841",59,94,35
"31","plexippus_archippus","7.49330742838009","0.0000000000000671593425251763",81,107,26
"32","plexippus_archippus","6.713777964307","0.000000000018964882268215",85,112,27
"33","plexippus_archippus","13.8488537474279","0.000000000000000000000000000000000000000000129258279466982",88,108.6,20.6
"34","plexippus_archippus","4.16019000481125","0.0000317982945698208",98,117.9,19.9
"35","plexippus_archippus","6.27975757872266","0.000000000339101354906644",102,120,18
"36","plexippus_archippus","2.12396720719688","0.0336728857844571",116,124,8
"37","plexippus_archippus","0.860330811715755","0.389606712953907",124.4,129.9,5.5
"38","plexippus_archippus","1.30003792485919","0.193587971232195",150,144,-6
"39","plexippus_archippus","10.2105393513836","0.00000000000000000000000177873325467681",167,146,-21
"40","plexippus_archippus","9.51860145110119","0.00000000000000000000175525291684934",176,151,-25
